Epoch,MSE loss during training
0,0.2333654442918487
1,0.10779315565014258
2,0.07808795187156647
3,0.0648966031440068
4,0.058944982185494155
5,0.051972157758427784
6,0.05009665118996054
7,0.046137511293636635
8,0.04418407508637756
9,0.041539087280398235
10,0.039637644571485
11,0.03931230679154396
12,0.03842606075340882
13,0.03767158242408186
14,0.03760697934194468
15,0.03574984532315284
16,0.034658466262044385
17,0.034803661197656766
18,0.03405654279049486
19,0.03243966760055628
20,0.03463116353668738
21,0.03329949411272537
22,0.03235533004044555
23,0.031385743102873676
24,0.03224105140543543
25,0.031210369415930472
26,0.03132423583883792
27,0.030079011150519364
28,0.03020171364187263
29,0.029595243991934694
30,0.029987425907165743
31,0.030123252188786864
32,0.028579491292475723
33,0.02891179056314286
34,0.030229904979933053
35,0.029038355700322427
36,0.027858730507432483
37,0.027616542429313995
38,0.029185480045271106
39,0.029089706818922423
40,0.028017678705509752
41,0.0284490490303142
42,0.027838503738166764
43,0.025843286464805715
44,0.028197013889439404
45,0.026748593387310393
46,0.0257921033189632
47,0.025657247271738015
48,0.027282483380986378
49,0.024920192183344625
50,0.025891357858199626
51,0.026857212331378832
52,0.027349196476279758
53,0.026295545350876637
54,0.025999992838478647
55,0.026965911019942723
56,0.02575420461653266
57,0.025698036319226958
58,0.025718968303408474
59,0.025605526912841015
60,0.02586806040199008
61,0.025591199882910587
62,0.025892851917888038
63,0.02536861560656689
64,0.025202504446497187
65,0.024865620041964576
66,0.024974252097308636
67,0.024374515007366426
68,0.026157382861129008
69,0.025702931176056154
70,0.024564710533013567
71,0.02595577423926443
72,0.02590701224107761
73,0.024950247621745802
74,0.02321889973245561
75,0.023034113793983124
76,0.025169192420435138
77,0.02484343592368532
78,0.02318913616181817
79,0.0230469834204996
80,0.023571553436340764
81,0.024013599002500996
82,0.022336391513817944
83,0.023662406354560517
84,0.0243992836039979
85,0.02364967057656031
86,0.02316902473103255
87,0.023032364013488404
88,0.02415673185896594
89,0.024318537194631062
90,0.02455886927782558
91,0.02357399715401698
92,0.023192830791231245
93,0.02341403521131724
94,0.023388708170386963
95,0.023183036624686792
96,0.02298179003992118
97,0.02318807493429631
98,0.022975392857915722
99,0.02303608886722941
100,0.02176666173909325
101,0.02166148496326059
102,0.02262963073735591
103,0.02347748022293672
104,0.022879408395965584
105,0.022696613683365285
106,0.023285950417630374
107,0.02340879115217831
108,0.023236878550960682
109,0.02261316242220346
110,0.024128874894813634
111,0.022968090677750297
112,0.02259519972722046
113,0.023281603804207407
114,0.022242240142077208
115,0.021742248107329942
116,0.022358719041221775
117,0.021930397051619366
118,0.021271247896947898
119,0.02287019464711193
120,0.022253683157032356
121,0.023724314844002947
122,0.023304585076402873
123,0.023826797696528956
124,0.022811755348811857
125,0.023093735449947417
126,0.02237970488204155
127,0.02335578693600837
128,0.022781582505558617
129,0.022980076566454954
130,0.022657629815512337
131,0.021601960514090024
132,0.021267861156957224
133,0.02093258137756493
134,0.022566810235730372
135,0.02384098246693611
136,0.022870436805533245
137,0.02214431465836242
138,0.02222347498172894
139,0.022616998379817232
140,0.02038778897258453
141,0.022331281958031468
142,0.02145650878082961
143,0.021670315065421164
144,0.02172594981675502
145,0.02159953975933604
146,0.02336941414978355
147,0.022757806014851667
148,0.02102254821511451
149,0.021033673721831292
150,0.021957565273623914
151,0.021245371448458172
152,0.02213940111687407
153,0.021423058948130347
154,0.021532642625970766
155,0.02217900262621697
156,0.02277006818621885
157,0.0219647363119293
158,0.02236879699921701
159,0.02183439138752874
160,0.020919004673487507
161,0.021722066900110804
162,0.021905512679950334
163,0.020912743304506876
164,0.021208621314144693
165,0.021712406989536248
166,0.02094247362401802
167,0.021976054034894332
168,0.021242423710646108
169,0.021872114753932692
170,0.022261319536482915
171,0.018905241435277276
172,0.021358978265197948
173,0.021972543545416556
174,0.021459911702550016
175,0.02194074433646165
176,0.02155897388001904
177,0.02092048805207014
178,0.021468735227244906
179,0.021846390649443492
180,0.021074032236356288
181,0.021400623285444453
182,0.022206036213901825
183,0.022197381957084872
184,0.021563701680861413
185,0.020873495013802312
186,0.02047928428510204
187,0.022181364518473856
188,0.021766309582744725
189,0.02141737392230425
190,0.021369506939663552
191,0.021330575327738188
192,0.020031755731906742
193,0.020635699198464863
194,0.021138573938515037
195,0.021874416095670313
196,0.020783291416591965
197,0.021428571359138004
198,0.02267295126512181
199,0.02100665363832377
