Epoch,MSE loss during training
0,0.3211808076594025
1,0.1718965140171349
2,0.13586017687339336
3,0.10170909709995613
4,0.07374192000133917
5,0.060886318620759994
6,0.055718045186949894
7,0.05142733076354489
8,0.048722855222877115
9,0.04555075679672882
10,0.04616214448469691
11,0.044632253382587805
12,0.04206276565673761
13,0.04186403195490129
14,0.040996847121277824
15,0.039241418562596664
16,0.0386796623643022
17,0.038526026386534795
18,0.03767736870213412
19,0.03687287890352309
20,0.035526016348740086
21,0.035542729863664135
22,0.03547020262340084
23,0.03521809514495544
24,0.03477105934871361
25,0.03410116408485919
26,0.03392775994143449
27,0.034489196055801585
28,0.03239705236046575
29,0.032601056329440325
30,0.03263097541639581
31,0.03221615949587431
32,0.03263495533610694
33,0.03259529660863336
34,0.03239000364555977
35,0.031223786470945925
36,0.030771670571994036
37,0.03115919858100824
38,0.03053010361327324
39,0.03084059603861533
40,0.030959557829191908
41,0.030433079577051103
42,0.030586804234189913
43,0.030077571180299856
44,0.029683963788556866
45,0.02944939625740517
46,0.028343118421616964
47,0.02992196541163139
48,0.029608018521685153
49,0.02969359549751971
50,0.031063855218235403
51,0.028301883750827983
52,0.02959130816452671
53,0.028695875487755984
54,0.029464230261510238
55,0.029788908359478228
56,0.028653895205934532
57,0.02835438858892303
58,0.028703851101454347
59,0.02792985133419279
60,0.027802605953183956
61,0.02776751529017929
62,0.028309584449743852
63,0.02744570311915595
64,0.027735225376090966
65,0.027110618437291123
66,0.027709266563761048
67,0.028492200275650248
68,0.02736367423494812
69,0.027013804559828714
70,0.027721483464119956
71,0.027413780611823313
72,0.02724002795002889
73,0.027046472954680212
74,0.025520275012240745
75,0.026729167817393318
76,0.026489372408832423
77,0.027113782256492414
78,0.026725721880211495
79,0.0267358507408062
80,0.02565983499516733
81,0.026327401559683494
82,0.02593621105188504
83,0.026239895960316062
84,0.026871333000599407
85,0.025872081168927252
86,0.026714282954344526
87,0.026064812584081665
88,0.026222982749459334
89,0.026686651253839955
90,0.025448460728512146
91,0.025272066210163757
92,0.02553713761153631
93,0.025915552003425546
94,0.02581651392392814
95,0.026290686961147003
96,0.026682195675675757
97,0.02576520746515598
98,0.02774285311170388
99,0.02454782677523326
100,0.025375176599482074
101,0.025534765532938763
102,0.026233496100758202
103,0.024994384410092607
104,0.0252211278420873
105,0.024917690287111327
106,0.026169861695962027
107,0.02457010241050739
108,0.02558274874172639
109,0.024509533803211525
110,0.025142230733763427
111,0.02517078815435525
112,0.024681711875018664
113,0.0247633827093523
114,0.024221748593845405
115,0.024121207447024062
116,0.024699176879948936
117,0.023096537071978673
118,0.02469033583474811
119,0.024697969434782863
120,0.025925584122887813
121,0.02406885303207673
122,0.02396319989929907
123,0.024607820945675485
124,0.02395320701180026
125,0.024838496436132118
126,0.024680056696524844
127,0.02460826355672907
128,0.02416245240601711
129,0.02463997676386498
130,0.022540658072102815
131,0.023557199383503757
132,0.023191614207462408
133,0.023884853362687863
134,0.024082194518996403
135,0.023995992247364484
136,0.022988334341789596
137,0.025067505790502764
138,0.024383992844377644
139,0.023319464045925997
140,0.02393402424058877
141,0.0235212081897771
142,0.024189457937609404
143,0.023475889960536733
144,0.024347971586394124
145,0.023726356186671183
146,0.023967893517692573
147,0.023500851122662425
148,0.022927155558136292
149,0.02364294938161038
150,0.023631413554539904
151,0.023399885278195143
152,0.02354098692012485
153,0.024025265520322137
154,0.023518876216257922
155,0.02393298274546396
156,0.024455336679238826
157,0.02251832967158407
158,0.02326051509589888
159,0.02345418688491918
160,0.023169660882558674
161,0.02278848149580881
162,0.02328586000658106
163,0.02251726591202896
164,0.022961435926845297
165,0.023284423776203766
166,0.02315763387014158
167,0.022147468000184745
168,0.02345001975481864
169,0.02220335035235621
170,0.02287239779252559
171,0.022734040059731342
172,0.021988981738104485
173,0.02272857297793962
174,0.023298716216231696
175,0.023444069651304744
176,0.02315523110155482
177,0.021372082221205346
178,0.02280162052193191
179,0.0214108449727064
180,0.023269504235940985
181,0.022553577175131068
182,0.023077237638062797
183,0.023367302521364763
184,0.022388123514247127
185,0.02259019210760016
186,0.02252295133075677
187,0.022719847067492083
188,0.022397259483113885
189,0.02273756015347317
190,0.022673358587780967
191,0.02208245151268784
192,0.02237497369060293
193,0.022981236543273553
194,0.02302904223324731
195,0.022486671921797097
196,0.022701510781189427
197,0.02322921945597045
198,0.02275811752770096
199,0.021801463677547872
