Epoch,MSE loss during training
0,0.04880301687808242
1,0.015102926270628814
2,0.011062188117648475
3,0.008921404209104367
4,0.007938146311062155
5,0.00742183316469891
6,0.006786983012716519
7,0.0064489020005567
8,0.005977341901598265
9,0.005972232112981146
10,0.005502367359440541
11,0.005584719499893254
12,0.005310300221026409
13,0.004851502864767099
14,0.0051368182903388515
15,0.005051961887147627
16,0.004701507448771736
17,0.004609534236806212
18,0.004751493794174166
19,0.004526333084868384
20,0.004753857740070089
21,0.004479059385630535
22,0.004503867296079989
23,0.004615437283064239
24,0.004432708241438377
25,0.004220141396217514
26,0.004238280380377546
27,0.004262955744707142
28,0.004335757859735168
29,0.004165151805864298
30,0.003990682314906735
31,0.004248482080583926
32,0.0038945615451666526
33,0.004059820264956215
34,0.00407796732361021
35,0.0037439963689394062
36,0.004101599955902202
37,0.004120321931623039
38,0.003928050860849908
39,0.003880735490383813
40,0.0037968512187944725
41,0.003848132779239677
42,0.0038573475339944707
43,0.0036830799199378816
44,0.0037022623564553214
45,0.0037404694194265176
46,0.0036332511517684907
47,0.0037276155981089687
48,0.003707039446453564
49,0.0036725544505316066
50,0.003364128206158057
51,0.0035751334125961876
52,0.0037595382455037907
53,0.0037216922737570712
54,0.0031861257702985313
55,0.0033574778735783184
56,0.003324142433484667
57,0.003582522735086968
58,0.0036796768436033744
59,0.003590852840716252
60,0.003463433427896234
61,0.0034612190811458277
62,0.0034647020911506843
63,0.0034285634792468045
64,0.003417597195948474
65,0.0034607358829816803
66,0.0034400103832012974
67,0.003444088804826606
68,0.0033025653046934167
69,0.0034549676256574458
70,0.002820689831423806
71,0.003193306696630316
72,0.003297389497674885
73,0.0033366944717272418
74,0.0033105559487012215
75,0.003398111930437153
76,0.0027674977736751316
77,0.0032364150538342074
78,0.003221911028958857
79,0.003186267498676898
80,0.0033356883304804796
81,0.003188097973179538
82,0.0031313894323830027
83,0.003136280651233392
84,0.0034429614552209387
85,0.0031819605210330337
86,0.003248319861086202
87,0.003196343866875395
88,0.0032043024475569837
89,0.003371505188624724
90,0.0029488892669178313
91,0.003140752234685351
92,0.003091289534495445
93,0.003165429188811686
94,0.003491428900815663
95,0.0030062070618441794
96,0.0030569633872801205
97,0.0031000949456938542
98,0.0029538029648392694
99,0.0031438334972335724
100,0.003224448075343389
101,0.0030931780875107506
102,0.0031884345517028123
103,0.00312273944291519
104,0.0030709079601365374
105,0.0030795091115578543
106,0.0028950966316187987
107,0.0031299580114136916
108,0.003164167734212242
109,0.0030202537272998597
110,0.003172108174112509
111,0.0029907927328167716
112,0.00289894872912555
113,0.002997316686560225
114,0.002866648541385075
115,0.0030029348545212997
116,0.003098423823757912
117,0.0025743473242982873
118,0.0030806262366240844
119,0.0029899415421823505
120,0.0031865399396338034
121,0.0029866877339372877
122,0.002890714809836936
123,0.0030300463822641177
124,0.003039985027498915
125,0.0026160976885876153
126,0.0030163905648805667
127,0.0029874996889702743
128,0.0030433494575845543
129,0.002904301602029591
130,0.0028609350065380568
131,0.0029610272649733815
132,0.002947137252704124
133,0.0031379208303405903
134,0.0027687195215548854
135,0.0029733451247011544
136,0.0028188617161504226
137,0.0029708553447562736
138,0.003045045228645904
139,0.0027505134585226187
140,0.0025635235779191134
141,0.0030245804318838054
142,0.00294619933811191
143,0.00285116930717777
144,0.002930286229457124
145,0.002982450034323847
146,0.0029365903537836857
147,0.002895757719670655
148,0.003051175135624362
149,0.0029076589780743234
150,0.0028911883200635202
151,0.0028690301442111377
152,0.0028761871108144987
153,0.002834639097272884
154,0.002945963125966955
155,0.002687751504709013
156,0.0028759245560650015
157,0.0029297538021637592
158,0.0027997448796668323
159,0.002846000952558825
160,0.0028974301494599786
161,0.002915592420322355
162,0.002881762909964891
163,0.002776898254523985
164,0.0028746572897944134
165,0.0026732658025139244
166,0.0025522596461087232
167,0.002882821792809409
168,0.0026853195868170587
169,0.0025655932404333726
170,0.0029050345456198556
171,0.0027566971439227927
172,0.0029237516691864585
173,0.0029247439433675027
174,0.0027435492038421216
175,0.002796756341922446
176,0.002786550980999891
177,0.0024440731103823055
178,0.0028575016258400865
179,0.0031515653663518606
180,0.0028962243159185164
181,0.002822496344379033
182,0.0029819870687788352
183,0.0028757415238942485
184,0.0029728402332693804
185,0.0024980748203233816
186,0.002721959477639757
187,0.0027974261120107258
188,0.002802748800604604
189,0.002834209295542678
190,0.0026396922003186774
191,0.002780758706649067
192,0.0027702491843228927
193,0.0026837052628252422
194,0.0027249016020505223
195,0.002718599746003747
196,0.0026964320513798157
197,0.0027716763452190207
198,0.0028152067388873547
199,0.0024996831225507776
